Rate.date;Rate.time;Rate.value
2013-04-11;18:55:38;25,800
2013-04-11;18:50:49;25,800
2013-04-11;18:46:04;25,800
2013-04-11;18:40:57;25,800
2013-04-11;18:35:59;25,810
2013-04-11;18:31:29;25,810
2013-04-11;18:25:59;25,800
2013-04-11;18:21:16;25,800
2013-04-11;18:16:20;25,800
2013-04-11;18:11:07;25,810
2013-04-11;18:07:28;25,800
2013-04-11;17:55:40;25,790
2013-04-11;17:50:48;25,790
2013-04-11;17:45:56;25,790
2013-04-11;17:40:55;25,790
2013-04-11;17:35:46;25,790
2013-04-11;17:31:28;25,790
2013-04-11;17:25:55;25,790
2013-04-11;17:21:13;25,790
2013-04-11;17:16:15;25,790
2013-04-11;17:11:11;25,790
2013-04-11;17:06:22;25,790
2013-04-11;16:55:42;25,800
2013-04-11;16:50:50;25,790
2013-04-11;16:45:51;25,800
2013-04-11;16:41:05;25,820
2013-04-11;16:35:49;25,830
2013-04-11;16:31:12;25,830
2013-04-11;16:26:00;25,830
2013-04-11;16:21:14;25,840
2013-04-11;16:16:23;25,830
2013-04-11;16:11:07;25,830
2013-04-11;16:06:47;25,850
2013-04-11;15:55:52;25,850
2013-04-11;15:50:51;25,850
2013-04-11;15:45:57;25,840
2013-04-11;15:40:50;25,840
2013-04-11;15:35:51;25,840
2013-04-11;15:31:08;25,840
2013-04-11;15:25:56;25,840
2013-04-11;15:21:11;25,850
2013-04-11;15:16:22;25,850
2013-04-11;15:11:08;25,840
2013-04-11;15:05:47;25,850
2013-04-11;14:55:40;25,840
2013-04-11;14:50:56;25,840
2013-04-11;14:45:51;25,830
2013-04-11;14:40:50;25,840
2013-04-11;14:35:48;25,840
2013-04-11;14:31:05;25,850
2013-04-11;14:25:51;25,850
2013-04-11;14:21:24;25,850
2013-04-11;14:16:08;25,850
2013-04-11;14:11:14;25,830
2013-04-11;14:07:23;25,840
2013-04-11;13:55:39;25,830
2013-04-11;13:50:55;25,840
2013-04-11;13:45:54;25,840
2013-04-11;13:40:46;25,830
2013-04-11;13:35:46;25,820
2013-04-11;13:30:57;25,820
2013-04-11;13:25:59;25,820
2013-04-11;13:21:01;25,820
2013-04-11;13:16:15;25,820
2013-04-11;13:11:00;25,810
2013-04-11;13:05:55;25,810
2013-04-11;12:55:47;25,810
2013-04-11;12:50:51;25,810
2013-04-11;12:46:06;25,810
2013-04-11;12:40:44;25,820
2013-04-11;12:36:11;25,800
2013-04-11;12:31:30;25,790
2013-04-11;12:26:02;25,830
2013-04-11;12:21:02;25,850
2013-04-11;12:16:07;25,850
2013-04-11;12:12:21;25,840
2013-04-11;11:56:03;25,840
2013-04-11;11:50:55;25,840
2013-04-11;11:46:01;25,840
2013-04-11;11:40:50;25,830
2013-04-11;11:35:44;25,830
2013-04-11;11:31:06;25,830
2013-04-11;11:25:58;25,830
2013-04-11;11:21:11;25,830
2013-04-11;11:16:25;25,830
2013-04-11;11:11:13;25,820
2013-04-11;11:05:37;25,820
2013-04-11;10:55:43;25,820
2013-04-11;10:50:55;25,840
2013-04-11;10:45:57;25,850
2013-04-11;10:40:57;25,850
2013-04-11;10:35:54;25,860
2013-04-11;10:31:47;25,840
2013-04-11;10:26:01;25,820
2013-04-11;10:21:05;25,840
2013-04-11;10:16:24;25,840
2013-04-11;10:11:05;25,810
2013-04-11;10:06:35;25,810
2013-04-11;09:55:48;25,800
2013-04-11;09:50:54;25,810
2013-04-11;09:46:00;25,810
2013-04-11;09:40:49;25,800
2013-04-11;09:35:42;25,800
2013-04-11;09:31:13;25,800
2013-04-11;09:26:02;25,800
2013-04-11;09:21:09;25,810
2013-04-11;09:16:13;25,820
2013-04-11;09:10:59;25,810
2013-04-11;09:05:52;25,820
